numOfLayer;numOnLayer;t;x;u;c;u+c;u-c;
1;0;0;1.07349;0;1;1;-1;
1;1;0;1.08349;0;1;1;-1;
1;2;0;1.09348;0;1;1;-1;
1;3;0;1.10348;0;1;1;-1;
1;4;0;1.11347;0;1;1;-1;
1;5;0;1.12346;0;1;1;-1;
1;6;0;1.13346;0;1;1;-1;
1;7;0;1.14345;0;1;1;-1;
1;8;0;1.15345;0;1;1;-1;
1;9;0;1.16344;0;1;1;-1;
1;10;0;1.17344;0;1;1;-1;
1;11;0;1.18343;0;1;1;-1;
1;12;0;1.19343;0;1;1;-1;
1;13;0;1.20342;0;1;1;-1;
1;14;0;1.21341;0;1;1;-1;
1;15;0;1.22341;0;1;1;-1;
1;16;0;1.2334;0;1;1;-1;
1;17;0;1.2434;0;1;1;-1;
1;18;0;1.25339;0;1;1;-1;
1;19;0;1.26339;0;1;1;-1;
1;20;0;1.27338;0;1;1;-1;
1;21;0;1.28338;0;1;1;-1;
1;22;0;1.29337;0;1;1;-1;
1;23;0;1.30337;0;1;1;-1;
1;24;0;1.31336;0;1;1;-1;
1;25;0;1.32335;0;1;1;-1;
1;26;0;1.33335;0;1;1;-1;
1;27;0;1.34334;0;1;1;-1;
1;28;0;1.35334;0;1;1;-1;
1;29;0;1.36333;0;1;1;-1;
1;30;0;1.37333;0;1;1;-1;
1;31;0;1.38332;0;1;1;-1;
1;32;0;1.39332;0;1;1;-1;
1;33;0;1.40331;0;1;1;-1;
1;34;0;1.4133;0;1;1;-1;
1;35;0;1.4233;0;1;1;-1;
1;36;0;1.43329;0;1;1;-1;
1;37;0;1.44329;0;1;1;-1;
1;38;0;1.45328;0;1;1;-1;
1;39;0;1.46328;0;1;1;-1;
1;40;0;1.47327;0;1;1;-1;
1;41;0;1.48327;0;1;1;-1;
1;42;0;1.49326;0;1;1;-1;
1;43;0;1.50325;0;1;1;-1;
1;44;0;1.51325;0;1;1;-1;
1;45;0;1.52324;0;1;1;-1;
1;46;0;1.53324;0;1;1;-1;
1;47;0;1.54323;0;1;1;-1;
1;48;0;1.55323;0;1;1;-1;
1;49;0;1.56322;0;1;1;-1;
1;50;0;1.57322;0;1;1;-1;
1;51;0;1.58321;0;1;1;-1;
1;52;0;1.5932;0;1;1;-1;
1;53;0;1.6032;0;1;1;-1;
1;54;0;1.61319;0;1;1;-1;
1;55;0;1.62319;0;1;1;-1;
1;56;0;1.63318;0;1;1;-1;
1;57;0;1.64318;0;1;1;-1;
1;58;0;1.65317;0;1;1;-1;
1;59;0;1.66317;0;1;1;-1;
1;60;0;1.67316;0;1;1;-1;
1;61;0;1.68316;0;1;1;-1;
1;62;0;1.69315;0;1;1;-1;
1;63;0;1.70314;0;1;1;-1;
1;64;0;1.71314;0;1;1;-1;
1;65;0;1.72313;0;1;1;-1;
1;66;0;1.73313;0;1;1;-1;
1;67;0;1.74312;0;1;1;-1;
1;68;0;1.75312;0;1;1;-1;
1;69;0;1.76311;0;1;1;-1;
1;70;0;1.77311;0;1;1;-1;
1;71;0;1.7831;0;1;1;-1;
1;72;0;1.79309;0;1;1;-1;
1;73;0;1.80309;0;1;1;-1;
1;74;0;1.81308;0;1;1;-1;
1;75;0;1.82308;0;1;1;-1;
1;76;0;1.83307;0;1;1;-1;
1;77;0;1.84307;0;1;1;-1;
1;78;0;1.85306;0;1;1;-1;
1;79;0;1.86306;0;1;1;-1;
1;80;0;1.87305;0;1;1;-1;
1;81;0;1.88304;0;1;1;-1;
1;82;0;1.89304;0;1;1;-1;
1;83;0;1.90303;0;1;1;-1;
1;84;0;1.91303;0;1;1;-1;
1;85;0;1.92302;0;1;1;-1;
1;86;0;1.93302;0;1;1;-1;
1;87;0;1.94301;0;1;1;-1;
1;88;0;1.95301;0;1;1;-1;
1;89;0;1.963;0;1;1;-1;
1;90;0;1.973;0;1;1;-1;
1;91;0;1.98299;0;1;1;-1;
1;92;0;1.99298;0;1;1;-1;
1;93;0;2.00298;0;1;1;-1;
1;94;0;2.01297;0;1;1;-1;
1;95;0;2.02297;0;1;1;-1;
1;96;0;2.03296;0;1;1;-1;
1;97;0;2.04296;0;1;1;-1;
1;98;0;2.05295;0;1;1;-1;
1;99;0;2.06295;0;1;1;-1;
1;100;0;2.07294;0;1;1;-1;
1;101;0;2.08293;0;1;1;-1;
1;102;0;2.09293;0;1;1;-1;
1;103;0;2.10292;0;1;1;-1;
1;104;0;2.11292;0;1;1;-1;
1;105;0;2.12291;0;1;1;-1;
