¹ point;t;r;R;L
0;10.6950319370537;10.999;31.5478672240097;-4.98456302139723
1;10.695031931608;10.9989999276723;31.5478672240097;-4.98456327728185
2;10.6950319261623;10.9989998553445;31.5478672240097;-4.98456353316671
3;10.6950319207166;10.9989997830163;31.5478672240097;-4.9845637890528
4;10.6950319152709;10.9989997106882;31.5478672240097;-4.98456404493884
5;10.6950319098252;10.9989996383602;31.5478672240097;-4.98456430082466
6;10.6950319043794;10.9989995660312;31.5478672240097;-4.98456455671381
7;10.6950318989336;10.9989994937028;31.5478672240097;-4.98456481260081
8;10.6950318934879;10.9989994213747;31.5478672240097;-4.98456506848658
9;10.6950318880422;10.9989993490461;31.5478672240097;-4.98456532437431
10;10.6950318825964;10.9989992767174;31.5478672240097;-4.98456558026234
11;10.6950318771507;10.9989992043895;31.5478672240097;-4.98456583614793
12;10.695031871705;10.9989991320612;31.5478672240097;-4.98456609203445
13;10.6950318662592;10.9989990597326;31.5478672240097;-4.984566347922
14;10.6950318608135;10.9989989874048;31.5478672240097;-4.98456660380698
15;10.6950318553678;10.9989989150761;31.5478672240097;-4.98456685969529
16;10.695031849922;10.998998842748;31.5478672240097;-4.98456711558115
17;10.6950318444763;10.9989987704187;31.5478672240097;-4.9845673714712
18;10.6950318390306;10.9989986980909;31.5478672240097;-4.98456762735626
19;10.6950318335848;10.9989986257628;31.5478672240097;-4.98456788324239
20;10.6950318281391;10.9989985534346;31.5478672240097;-4.98456813912881
21;10.6950318226933;10.9989984811054;31.5478672240097;-4.98456839501844
22;10.6950318172476;10.9989984087779;31.5478672240097;-4.98456865090231
23;10.6950318118019;10.998998336449;31.5478672240097;-4.98456890679116
24;10.6950318063562;10.9989982641209;31.5478672240097;-4.98456916267722
25;10.6950318009104;10.9989981917929;31.5478672240097;-4.98456941856305
26;10.6950317954647;10.9989981194642;31.5478672240097;-4.98456967445103
27;10.6950317900189;10.998998047136;31.5478672240097;-4.98456993033749
28;10.6950317845732;10.9989979748073;31.5478672240097;-4.98457018622544
29;10.6950317791275;10.998997902479;31.5478672240097;-4.98457044211221
30;10.6950317736818;10.9989978301515;31.5478672240097;-4.9845706979964
