num;t;r;R;L
0;0.09130041;1.071810493;10;-4.92
1;0.091300306;1.071810228;10.00000051;-4.92001562
2;0.091300202;1.071809963;10.00000102;-4.920031239
3;0.091300097;1.071809698;10.00000153;-4.920046859
4;0.091299993;1.071809433;10.00000204;-4.920062479
5;0.091299889;1.071809168;10.00000255;-4.920078098
6;0.091299784;1.071808903;10.00000305;-4.920093717
7;0.09129968;1.071808638;10.00000356;-4.920109337
8;0.091299576;1.071808373;10.00000407;-4.920124956
9;0.091299471;1.071808108;10.00000458;-4.920140575
10;0.091299367;1.071807843;10.00000509;-4.920156194
11;0.091299263;1.071807578;10.0000056;-4.920171813
12;0.091299158;1.071807313;10.00000611;-4.920187432
13;0.091299054;1.071807048;10.00000662;-4.920203051
14;0.09129895;1.071806783;10.00000713;-4.92021867
15;0.091298846;1.071806519;10.00000764;-4.920234289
16;0.091298741;1.071806254;10.00000815;-4.920249908
17;0.091298637;1.071805989;10.00000865;-4.920265526
18;0.091298533;1.071805724;10.00000916;-4.920281145
19;0.091298428;1.071805459;10.00000967;-4.920296764
20;0.091298324;1.071805194;10.00001018;-4.920312382
21;0.09129822;1.071804929;10.00001069;-4.920328
22;0.091298115;1.071804664;10.0000112;-4.920343619
23;0.091298011;1.071804399;10.00001171;-4.920359237
24;0.091297907;1.071804134;10.00001222;-4.920374855
25;0.091297803;1.071803869;10.00001273;-4.920390474
26;0.091297698;1.071803605;10.00001324;-4.920406092
27;0.091297594;1.07180334;10.00001375;-4.92042171
28;0.09129749;1.071803075;10.00001425;-4.920437328
29;0.091297385;1.07180281;10.00001476;-4.920452945
30;0.091297281;1.071802545;10.00001527;-4.920468563
31;0.091297177;1.07180228;10.00001578;-4.920484181
32;0.091297072;1.071802015;10.00001629;-4.920499799
33;0.091296968;1.07180175;10.0000168;-4.920515416
34;0.091296864;1.071801485;10.00001731;-4.920531034
35;0.09129676;1.071801221;10.00001782;-4.920546651
36;0.091296655;1.071800956;10.00001833;-4.920562269
37;0.091296551;1.071800691;10.00001884;-4.920577886
38;0.091296447;1.071800426;10.00001934;-4.920593504
39;0.091296342;1.071800161;10.00001985;-4.920609121
40;0.091296238;1.071799896;10.00002036;-4.920624738
41;0.091296134;1.071799631;10.00002087;-4.920640355
42;0.09129603;1.071799367;10.00002138;-4.920655972
43;0.091295925;1.071799102;10.00002189;-4.920671589
44;0.091295821;1.071798837;10.0000224;-4.920687206
45;0.091295717;1.071798572;10.00002291;-4.920702823
46;0.091295612;1.071798307;10.00002342;-4.92071844
47;0.091295508;1.071798042;10.00002393;-4.920734056
48;0.091295404;1.071797777;10.00002443;-4.920749673
49;0.0912953;1.071797513;10.00002494;-4.92076529
50;0.091295195;1.071797248;10.00002545;-4.920780906
51;0.091295091;1.071796983;10.00002596;-4.920796523
52;0.091294987;1.071796718;10.00002647;-4.920812139
53;0.091294882;1.071796453;10.00002698;-4.920827755
54;0.091294778;1.071796188;10.00002749;-4.920843372
55;0.091294674;1.071795924;10.000028;-4.920858988
56;0.09129457;1.071795659;10.00002851;-4.920874604
57;0.091294465;1.071795394;10.00002901;-4.92089022
58;0.091294361;1.071795129;10.00002952;-4.920905836
59;0.091294257;1.071794864;10.00003003;-4.920921452
60;0.091294152;1.071794599;10.00003054;-4.920937068
61;0.091294048;1.071794335;10.00003105;-4.920952684
62;0.091293944;1.07179407;10.00003156;-4.920968299
63;0.09129384;1.071793805;10.00003207;-4.920983915
64;0.091293735;1.07179354;10.00003258;-4.920999531
65;0.091293631;1.071793275;10.00003309;-4.921015146
66;0.091293527;1.071793011;10.0000336;-4.921030762
