¹ point;t;r;R;L
0;10.3005449949824;10.999;64.6330407009565;-2.99897308852125
1;10.3005449943043;10.9989999791042;64.6330407009565;-2.9989731093956
2;10.3005449936259;10.9989999581966;64.6330407009565;-2.9989731302817
3;10.3005449929477;10.998999937295;64.6330407009565;-2.99897315116181
4;10.3005449922694;10.9989999163927;64.6330407009565;-2.9989731720426
5;10.3005449915911;10.9989998954909;64.6330407009565;-2.99897319292291
6;10.3005449909129;10.9989998745901;64.6330407009565;-2.99897321380227
7;10.3005449902346;10.9989998536867;64.6330407009565;-2.99897323468418
8;10.3005449895564;10.9989998327861;64.6330407009565;-2.9989732555633
9;10.3005449888781;10.9989998118843;64.6330407009565;-2.99897327644357
10;10.3005449881998;10.9989997909809;64.6330407009565;-2.99897329732556
11;10.3005449875216;10.9989997700795;64.6330407009565;-2.9989733182054
12;10.3005449868434;10.9989997491784;64.6330407009565;-2.99897333908511
13;10.3005449861651;10.9989997282765;64.6330407009565;-2.99897335996553
14;10.3005449854868;10.9989997073749;64.6330407009565;-2.99897338084566
15;10.3005449848086;10.9989996864724;64.6330407009565;-2.99897340172663
16;10.3005449841303;10.9989996655715;64.6330407009565;-2.99897342260603
17;10.300544983452;10.9989996446678;64.6330407009565;-2.99897344348823
18;10.3005449827738;10.9989996237666;64.6330407009565;-2.99897346436795
19;10.3005449820955;10.9989996028647;64.6330407009565;-2.99897348524837
20;10.3005449814173;10.9989995819619;64.6330407009565;-2.99897350612971
21;10.300544980739;10.9989995610615;64.6330407009565;-2.99897352700863
22;10.3005449800608;10.9989995401593;64.6330407009565;-2.99897354788941
23;10.3005449793825;10.9989995192567;64.6330407009565;-2.99897356877055
24;10.3005449787042;10.9989994983549;64.6330407009565;-2.99897358965081
25;10.300544978026;10.9989994774535;64.6330407009565;-2.99897361053076
26;10.3005449773477;10.9989994565519;64.6330407009565;-2.99897363141086
27;10.3005449766695;10.9989994356501;64.6330407009565;-2.99897365229118
28;10.3005449759912;10.9989994147482;64.6330407009565;-2.99897367317158
29;10.3005449753129;10.998999393845;64.6330407009565;-2.99897369405332
30;10.3005449746347;10.9989993729438;64.6330407009565;-2.99897371493309
31;10.3005449739565;10.998999352043;64.6330407009565;-2.9989737358124
32;10.3005449732782;10.9989993311402;64.6330407009565;-2.99897375669367
33;10.3005449726;10.9989993102393;64.6330407009565;-2.99897377757307
34;10.3005449719217;10.9989992893368;64.6330407009565;-2.99897379845408
35;10.3005449712435;10.9989992684355;64.6330407009565;-2.99897381933396
36;10.3005449705652;10.9989992475327;64.6330407009565;-2.99897384021527
37;10.3005449698869;10.9989992266319;64.6330407009565;-2.99897386109455
38;10.3005449692086;10.9989992057285;64.6330407009565;-2.99897388197651
39;10.3005449685304;10.9989991848267;64.6330407009565;-2.99897390285683
40;10.3005449678521;10.9989991639255;64.6330407009565;-2.9989739237366
41;10.3005449671739;10.9989991430237;64.6330407009565;-2.99897394461682
42;10.3005449664956;10.9989991221208;64.6330407009565;-2.99897396549829
43;10.3005449658174;10.9989991012212;64.6330407009565;-2.99897398637635
44;10.3005449651391;10.9989990803177;64.6330407009565;-2.99897400725843
45;10.3005449644608;10.9989990594154;64.6330407009565;-2.99897402813921
46;10.3005449637826;10.9989990385144;64.6330407009565;-2.99897404901876
47;10.3005449631044;10.9989990176127;64.6330407009565;-2.99897406989896
48;10.3005449624261;10.9989989967108;64.6330407009565;-2.99897409077938
49;10.3005449617478;10.9989989758087;64.6330407009565;-2.99897411166
50;10.3005449610695;10.998998954906;64.6330407009565;-2.9989741325413
51;10.3005449603913;10.9989989340045;64.6330407009565;-2.99897415342129
52;10.3005449597131;10.998998913103;64.6330407009565;-2.99897417430133
53;10.3005449590348;10.9989988922015;64.6330407009565;-2.99897419518139
54;10.3005449583565;10.9989988712993;64.6330407009565;-2.99897421606206
55;10.3005449576783;10.9989988503986;64.6330407009565;-2.99897423694126
56;10.300544957;10.9989988294959;64.6330407009565;-2.99897425782255
57;10.3005449563217;10.9989988085928;64.6330407009565;-2.99897427870411
58;10.3005449556435;10.9989987876918;64.6330407009565;-2.99897429958362
59;10.3005449549653;10.9989987667901;64.6330407009565;-2.99897432046391
60;10.300544954287;10.9989987458874;64.6330407009565;-2.9989743413451
61;10.3005449536088;10.9989987249867;64.6330407009565;-2.99897436222437
62;10.3005449529305;10.9989987040844;64.6330407009565;-2.99897438310518
63;10.3005449522523;10.9989986831838;64.6330407009565;-2.99897440398423
64;10.300544951574;10.9989986622813;64.6330407009565;-2.9989744248653
65;10.3005449508957;10.9989986413795;64.6330407009565;-2.99897444574564
66;10.3005449502175;10.9989986204771;64.6330407009565;-2.99897446662654
67;10.3005449495392;10.9989985995744;64.6330407009565;-2.99897448750776
68;10.3005449488609;10.9989985786719;64.6330407009565;-2.99897450838884
69;10.3005449481827;10.9989985577717;64.6330407009565;-2.99897452926752
70;10.3005449475044;10.9989985368688;64.6330407009565;-2.99897455014901
71;10.3005449468262;10.9989985159678;64.6330407009565;-2.99897457102852
72;10.3005449461479;10.9989984950658;64.6330407009565;-2.99897459190901
73;10.3005449454696;10.9989984741629;64.6330407009565;-2.99897461279044
74;10.3005449447914;10.9989984532606;64.6330407009565;-2.99897463367123
75;10.3005449441132;10.9989984323607;64.6330407009565;-2.99897465454964
76;10.3005449434349;10.9989984114573;64.6330407009565;-2.99897467543156
77;10.3005449427566;10.9989983905559;64.6330407009565;-2.99897469631149
78;10.3005449420784;10.9989983696545;64.6330407009565;-2.99897471719143
79;10.3005449414001;10.9989983487532;64.6330407009565;-2.99897473807131
80;10.3005449407219;10.9989983278506;64.6330407009565;-2.99897475895243
81;10.3005449400436;10.9989983069479;64.6330407009565;-2.99897477983356
82;10.3005449393654;10.9989982860475;64.6330407009565;-2.99897480071251
83;10.3005449386871;10.9989982651453;64.6330407009565;-2.99897482159329
84;10.3005449380088;10.9989982442415;64.6330407009565;-2.99897484247558
85;10.3005449373306;10.9989982233411;64.6330407009565;-2.99897486335447
86;10.3005449366523;10.9989982024388;64.6330407009565;-2.99897488423536
87;10.3005449359741;10.9989981815371;64.6330407009565;-2.9989749051155
88;10.3005449352958;10.9989981606356;64.6330407009565;-2.99897492599554
89;10.3005449346175;10.9989981397336;64.6330407009565;-2.99897494687611
90;10.3005449339393;10.9989981188325;64.6330407009565;-2.9989749677557
91;10.300544933261;10.9989980979295;64.6330407009565;-2.99897498863724
92;10.3005449325828;10.998998077029;64.6330407009565;-2.99897500951621
93;10.3005449319046;10.998998056128;64.6330407009565;-2.99897503039571
94;10.3005449312262;10.9989980352229;64.6330407009565;-2.99897505127936
95;10.300544930548;10.9989980143223;64.6330407009565;-2.99897507215849
96;10.3005449298698;10.9989979934219;64.6330407009565;-2.9989750930374
97;10.3005449291915;10.9989979725194;64.6330407009565;-2.99897511391846
98;10.3005449285132;10.9989979516168;64.6330407009565;-2.9989751347996
99;10.300544927835;10.9989979307145;64.6330407009565;-2.99897515568041
100;10.3005448600092;10.9989958405265;64.6330407009565;-2.9989772437207
101;10.3005447921835;10.9989937503395;64.6330407009565;-2.99897933176015
102;10.3005447243578;10.9989916601535;64.6330407009565;-2.99898141979873
103;10.3005446565321;10.9989895699659;64.6330407009565;-2.99898350783894
104;10.3005445887064;10.998987479779;64.6330407009565;-2.9989855958787
105;10.3005445208807;10.9989853895932;64.6330407009565;-2.99898768391752
106;10.300544453055;10.9989832994071;64.6330407009565;-2.99898977195671
107;10.3005443852293;10.9989812092211;64.6330407009565;-2.998991859996
108;10.3005443174037;10.9989791190363;64.6330407009565;-2.9989939480342
109;10.300544249578;10.9989770288508;64.6330407009565;-2.99899603607315
110;10.3005441817523;10.9989749386655;64.6330407009565;-2.99899812411214
111;10.3005441139267;10.9989728484814;64.6330407009565;-2.99900021214995
112;10.300544046101;10.9989707582963;64.6330407009565;-2.99900230018899
113;10.3005439782754;10.9989686681122;64.6330407009565;-2.99900438822722
114;10.3005439104498;10.9989665779286;64.6330407009565;-2.999006476265
115;10.3005438426241;10.998964487745;64.6330407009565;-2.99900856430292
116;10.3005437747985;10.998962397561;64.6330407009565;-2.99901065234133
117;10.3005437069729;10.9989603073781;64.6330407009565;-2.99901274037889
118;10.3005436391472;10.998958217195;64.6330407009565;-2.99901482841676
119;10.3005435713216;10.9989561270126;64.6330407009565;-2.99901691645401
120;10.300543503496;10.9989540368306;64.6330407009565;-2.99901900449101
121;10.3005434356705;10.998951946649;64.6330407009565;-2.9990210925277
122;10.3005433678448;10.9989498564658;64.6330407009565;-2.9990231805662
123;10.3005433000193;10.9989477662845;64.6330407009565;-2.9990252686029
124;10.3005432321937;10.9989456761043;64.6330407009565;-2.99902735663868
125;10.3005431643681;10.9989435859229;64.6330407009565;-2.99902944467575
126;10.3005430965426;10.9989414957421;64.6330407009565;-2.99903153271233
127;10.300543028717;10.9989394055613;64.6330407009565;-2.99903362074913
128;10.3005429608914;10.9989373153802;64.6330407009565;-2.99903570878628
129;10.300542893066;10.9989352252021;64.6330407009565;-2.99903779682063
130;10.3005428252404;10.9989331350213;64.6330407009565;-2.99903988485781
131;10.3005427574148;10.9989310448405;64.6330407009565;-2.99904197289513
132;10.3005426895893;10.9989289546628;64.6330407009565;-2.99904406092939
133;10.3005426217638;10.9989268644845;64.6330407009565;-2.99904614896452
134;10.3005425539383;10.9989247743052;64.6330407009565;-2.99904823700068
135;10.3005424861128;10.9989226841263;64.6330407009565;-2.99905032503664
136;10.3005424182873;10.9989205939497;64.6330407009565;-2.99905241307044
137;10.3005423504618;10.9989185037709;64.6330407009565;-2.99905450110649
138;10.3005422826363;10.9989164135933;64.6330407009565;-2.99905658914152
